,backbone_model,is_train_clf,ice_clf,reducer,ICE no concepts,ice count,test_acc_mean,test_acc_std,test_acc,ice_acc_mean,ice_acc_std,ice_acc,woe_acc_mean,woe_acc_std,woe_acc,test_sensitivity_mean,test_sensitivity_std,test_sensitivity,ice_sensitivity_mean,ice_sensitivity_std,ice_sensitivity,woe_sensitivity_mean,woe_sensitivity_std,woe_sensitivity,test_precision_mean,test_precision_std,test_precision,ice_precision_mean,ice_precision_std,ice_precision,woe_precision_mean,woe_precision_std,woe_precision,test_f1_score_mean,test_f1_score_std,test_f1_score,ice_f1_score_mean,ice_f1_score_std,ice_f1_score,woe_f1_score_mean,woe_f1_score_std,woe_f1_score
247,resnet152,True,logistic,NMF,25,20,80.21,5.52,$80.21 \pm 5.52$,80.68,3.56,$80.68 \pm 3.56$,79.0,3.88,$79.0 \pm 3.88$,86.08,5.7,$86.08 \pm 5.7$,86.42,3.91,$86.42 \pm 3.91$,83.58,4.99,$83.58 \pm 4.99$,84.49,6.48,$84.49 \pm 6.48$,84.22,4.36,$84.22 \pm 4.36$,82.87,3.56,$82.87 \pm 3.56$,84.96,3.09,$84.96 \pm 3.09$,85.19,2.68,$85.19 \pm 2.68$,83.13,3.27,$83.13 \pm 3.27$
248,resnet152,False,Not-Applicable,PCA,25,20,80.21,5.52,$80.21 \pm 5.52$,79.93,4.86,$79.93 \pm 4.86$,78.54,4.26,$78.54 \pm 4.26$,86.08,5.7,$86.08 \pm 5.7$,86.17,5.02,$86.17 \pm 5.02$,86.25,4.45,$86.25 \pm 4.45$,84.49,6.48,$84.49 \pm 6.48$,83.8,5.4,$83.8 \pm 5.4$,81.69,4.45,$81.69 \pm 4.45$,84.96,3.09,$84.96 \pm 3.09$,84.78,3.3,$84.78 \pm 3.3$,83.81,3.39,$83.81 \pm 3.39$
249,resnet152,True,ridge,PCA,25,20,80.21,5.52,$80.21 \pm 5.52$,81.54,3.59,$81.54 \pm 3.59$,78.54,4.26,$78.54 \pm 4.26$,86.08,5.7,$86.08 \pm 5.7$,85.42,3.37,$85.42 \pm 3.37$,86.25,4.45,$86.25 \pm 4.45$,84.49,6.48,$84.49 \pm 6.48$,86.33,3.88,$86.33 \pm 3.88$,81.69,4.45,$81.69 \pm 4.45$,84.96,3.09,$84.96 \pm 3.09$,85.78,2.3,$85.78 \pm 2.3$,83.81,3.39,$83.81 \pm 3.39$
250,resnet152,True,gnb,PCA,25,20,80.21,5.52,$80.21 \pm 5.52$,78.61,4.23,$78.61 \pm 4.23$,78.54,4.26,$78.54 \pm 4.26$,86.08,5.7,$86.08 \pm 5.7$,86.33,4.45,$86.33 \pm 4.45$,86.25,4.45,$86.25 \pm 4.45$,84.49,6.48,$84.49 \pm 6.48$,81.77,4.4,$81.77 \pm 4.4$,81.69,4.45,$81.69 \pm 4.45$,84.96,3.09,$84.96 \pm 3.09$,83.89,3.35,$83.89 \pm 3.35$,83.81,3.39,$83.81 \pm 3.39$
251,resnet152,True,logistic,PCA,25,20,80.21,5.52,$80.21 \pm 5.52$,82.0,3.24,$82.0 \pm 3.24$,78.54,4.26,$78.54 \pm 4.26$,86.08,5.7,$86.08 \pm 5.7$,84.75,3.87,$84.75 \pm 3.87$,86.25,4.45,$86.25 \pm 4.45$,84.49,6.48,$84.49 \pm 6.48$,86.38,3.97,$86.38 \pm 3.97$,81.69,4.45,$81.69 \pm 4.45$,84.96,3.09,$84.96 \pm 3.09$,85.5,3.16,$85.5 \pm 3.16$,83.81,3.39,$83.81 \pm 3.39$
252,resnet152,False,Not-Applicable,NMF,30,20,80.21,5.52,$80.21 \pm 5.52$,78.46,5.89,$78.46 \pm 5.89$,78.57,4.06,$78.57 \pm 4.06$,86.08,5.7,$86.08 \pm 5.7$,85.83,6.48,$85.83 \pm 6.48$,84.33,5.23,$84.33 \pm 5.23$,84.49,6.48,$84.49 \pm 6.48$,82.32,6.44,$82.32 \pm 6.44$,82.15,3.95,$82.15 \pm 3.95$,84.96,3.09,$84.96 \pm 3.09$,83.7,3.72,$83.7 \pm 3.72$,83.09,2.96,$83.09 \pm 2.96$
253,resnet152,True,ridge,NMF,30,20,80.21,5.52,$80.21 \pm 5.52$,81.11,3.26,$81.11 \pm 3.26$,78.57,4.06,$78.57 \pm 4.06$,86.08,5.7,$86.08 \pm 5.7$,86.5,3.28,$86.5 \pm 3.28$,84.33,5.23,$84.33 \pm 5.23$,84.49,6.48,$84.49 \pm 6.48$,84.38,4.41,$84.38 \pm 4.41$,82.15,3.95,$82.15 \pm 3.95$,84.96,3.09,$84.96 \pm 3.09$,85.32,2.27,$85.32 \pm 2.27$,83.09,2.96,$83.09 \pm 2.96$
254,resnet152,True,gnb,NMF,30,20,80.21,5.52,$80.21 \pm 5.52$,78.61,4.02,$78.61 \pm 4.02$,78.57,4.06,$78.57 \pm 4.06$,86.08,5.7,$86.08 \pm 5.7$,84.33,5.23,$84.33 \pm 5.23$,84.33,5.23,$84.33 \pm 5.23$,84.49,6.48,$84.49 \pm 6.48$,82.15,3.95,$82.15 \pm 3.95$,82.15,3.95,$82.15 \pm 3.95$,84.96,3.09,$84.96 \pm 3.09$,83.09,2.96,$83.09 \pm 2.96$,83.09,2.96,$83.09 \pm 2.96$
255,resnet152,True,logistic,NMF,30,20,80.21,5.52,$80.21 \pm 5.52$,80.36,3.54,$80.36 \pm 3.54$,78.57,4.06,$78.57 \pm 4.06$,86.08,5.7,$86.08 \pm 5.7$,87.92,3.5,$87.92 \pm 3.5$,84.33,5.23,$84.33 \pm 5.23$,84.49,6.48,$84.49 \pm 6.48$,83.5,4.17,$83.5 \pm 4.17$,82.15,3.95,$82.15 \pm 3.95$,84.96,3.09,$84.96 \pm 3.09$,85.55,2.46,$85.55 \pm 2.46$,83.09,2.96,$83.09 \pm 2.96$
256,resnet152,False,Not-Applicable,PCA,30,20,80.21,5.52,$80.21 \pm 5.52$,79.89,5.03,$79.89 \pm 5.03$,78.68,4.39,$78.68 \pm 4.39$,86.08,5.7,$86.08 \pm 5.7$,86.0,4.73,$86.0 \pm 4.73$,86.67,4.39,$86.67 \pm 4.39$,84.49,6.48,$84.49 \pm 6.48$,83.63,5.81,$83.63 \pm 5.81$,81.68,4.23,$81.68 \pm 4.23$,84.96,3.09,$84.96 \pm 3.09$,84.6,3.49,$84.6 \pm 3.49$,84.01,3.36,$84.01 \pm 3.36$
257,resnet152,True,ridge,PCA,30,20,80.21,5.52,$80.21 \pm 5.52$,82.07,3.14,$82.07 \pm 3.14$,78.68,4.39,$78.68 \pm 4.39$,86.08,5.7,$86.08 \pm 5.7$,86.0,2.93,$86.0 \pm 2.93$,86.67,4.39,$86.67 \pm 4.39$,84.49,6.48,$84.49 \pm 6.48$,86.55,4.04,$86.55 \pm 4.04$,81.68,4.23,$81.68 \pm 4.23$,84.96,3.09,$84.96 \pm 3.09$,86.2,2.33,$86.2 \pm 2.33$,84.01,3.36,$84.01 \pm 3.36$
258,resnet152,True,gnb,PCA,30,20,80.21,5.52,$80.21 \pm 5.52$,78.68,4.38,$78.68 \pm 4.38$,78.68,4.39,$78.68 \pm 4.39$,86.08,5.7,$86.08 \pm 5.7$,86.67,4.39,$86.67 \pm 4.39$,86.67,4.39,$86.67 \pm 4.39$,84.49,6.48,$84.49 \pm 6.48$,81.68,4.23,$81.68 \pm 4.23$,81.68,4.23,$81.68 \pm 4.23$,84.96,3.09,$84.96 \pm 3.09$,84.01,3.36,$84.01 \pm 3.36$,84.01,3.36,$84.01 \pm 3.36$
259,resnet152,True,logistic,PCA,30,20,80.21,5.52,$80.21 \pm 5.52$,82.21,2.51,$82.21 \pm 2.51$,78.68,4.39,$78.68 \pm 4.39$,86.08,5.7,$86.08 \pm 5.7$,85.33,3.32,$85.33 \pm 3.32$,86.67,4.39,$86.67 \pm 4.39$,84.49,6.48,$84.49 \pm 6.48$,86.43,3.7,$86.43 \pm 3.7$,81.68,4.23,$81.68 \pm 4.23$,84.96,3.09,$84.96 \pm 3.09$,85.8,2.38,$85.8 \pm 2.38$,84.01,3.36,$84.01 \pm 3.36$
260,resnet152,False,Not-Applicable,NMF,35,20,80.21,5.52,$80.21 \pm 5.52$,78.96,5.74,$78.96 \pm 5.74$,78.71,3.73,$78.71 \pm 3.73$,86.08,5.7,$86.08 \pm 5.7$,85.75,6.32,$85.75 \pm 6.32$,84.17,4.51,$84.17 \pm 4.51$,84.49,6.48,$84.49 \pm 6.48$,82.8,6.52,$82.8 \pm 6.52$,82.32,3.86,$82.32 \pm 3.86$,84.96,3.09,$84.96 \pm 3.09$,83.9,3.48,$83.9 \pm 3.48$,83.11,2.59,$83.11 \pm 2.59$
261,resnet152,True,ridge,NMF,35,20,80.21,5.52,$80.21 \pm 5.52$,80.93,3.62,$80.93 \pm 3.62$,78.71,3.73,$78.71 \pm 3.73$,86.08,5.7,$86.08 \pm 5.7$,86.0,3.52,$86.0 \pm 3.52$,84.17,4.51,$84.17 \pm 4.51$,84.49,6.48,$84.49 \pm 6.48$,84.36,4.6,$84.36 \pm 4.6$,82.32,3.86,$82.32 \pm 3.86$,84.96,3.09,$84.96 \pm 3.09$,85.07,2.72,$85.07 \pm 2.72$,83.11,2.59,$83.11 \pm 2.59$
262,resnet152,True,gnb,NMF,35,20,80.21,5.52,$80.21 \pm 5.52$,78.68,3.71,$78.68 \pm 3.71$,78.71,3.73,$78.71 \pm 3.73$,86.08,5.7,$86.08 \pm 5.7$,84.17,4.51,$84.17 \pm 4.51$,84.17,4.51,$84.17 \pm 4.51$,84.49,6.48,$84.49 \pm 6.48$,82.26,3.93,$82.26 \pm 3.93$,82.32,3.86,$82.32 \pm 3.86$,84.96,3.09,$84.96 \pm 3.09$,83.08,2.59,$83.08 \pm 2.59$,83.11,2.59,$83.11 \pm 2.59$
263,resnet152,True,logistic,NMF,35,20,80.21,5.52,$80.21 \pm 5.52$,79.96,3.9,$79.96 \pm 3.9$,78.71,3.73,$78.71 \pm 3.73$,86.08,5.7,$86.08 \pm 5.7$,87.08,4.04,$87.08 \pm 4.04$,84.17,4.51,$84.17 \pm 4.51$,84.49,6.48,$84.49 \pm 6.48$,82.95,4.72,$82.95 \pm 4.72$,82.32,3.86,$82.32 \pm 3.86$,84.96,3.09,$84.96 \pm 3.09$,84.85,3.03,$84.85 \pm 3.03$,83.11,2.59,$83.11 \pm 2.59$
264,resnet152,False,Not-Applicable,PCA,35,20,80.21,5.52,$80.21 \pm 5.52$,79.86,4.88,$79.86 \pm 4.88$,78.32,4.13,$78.32 \pm 4.13$,86.08,5.7,$86.08 \pm 5.7$,86.08,4.81,$86.08 \pm 4.81$,86.58,4.44,$86.58 \pm 4.44$,84.49,6.48,$84.49 \pm 6.48$,83.68,5.21,$83.68 \pm 5.21$,81.03,4.5,$81.03 \pm 4.5$,84.96,3.09,$84.96 \pm 3.09$,84.69,3.27,$84.69 \pm 3.27$,83.6,3.27,$83.6 \pm 3.27$
265,resnet152,True,ridge,PCA,35,20,80.21,5.52,$80.21 \pm 5.52$,82.11,3.18,$82.11 \pm 3.18$,78.32,4.13,$78.32 \pm 4.13$,86.08,5.7,$86.08 \pm 5.7$,85.75,3.08,$85.75 \pm 3.08$,86.58,4.44,$86.58 \pm 4.44$,84.49,6.48,$84.49 \pm 6.48$,86.5,3.69,$86.5 \pm 3.69$,81.03,4.5,$81.03 \pm 4.5$,84.96,3.09,$84.96 \pm 3.09$,86.05,2.15,$86.05 \pm 2.15$,83.6,3.27,$83.6 \pm 3.27$
266,resnet152,True,gnb,PCA,35,20,80.21,5.52,$80.21 \pm 5.52$,78.32,4.13,$78.32 \pm 4.13$,78.32,4.13,$78.32 \pm 4.13$,86.08,5.7,$86.08 \pm 5.7$,86.58,4.44,$86.58 \pm 4.44$,86.58,4.44,$86.58 \pm 4.44$,84.49,6.48,$84.49 \pm 6.48$,81.03,4.5,$81.03 \pm 4.5$,81.03,4.5,$81.03 \pm 4.5$,84.96,3.09,$84.96 \pm 3.09$,83.6,3.27,$83.6 \pm 3.27$,83.6,3.27,$83.6 \pm 3.27$
267,resnet152,True,logistic,PCA,35,20,80.21,5.52,$80.21 \pm 5.52$,82.25,2.67,$82.25 \pm 2.67$,78.32,4.13,$78.32 \pm 4.13$,86.08,5.7,$86.08 \pm 5.7$,84.5,3.42,$84.5 \pm 3.42$,86.58,4.44,$86.58 \pm 4.44$,84.49,6.48,$84.49 \pm 6.48$,86.58,3.9,$86.58 \pm 3.9$,81.03,4.5,$81.03 \pm 4.5$,84.96,3.09,$84.96 \pm 3.09$,85.43,2.33,$85.43 \pm 2.33$,83.6,3.27,$83.6 \pm 3.27$
268,resnet152,False,Not-Applicable,NMF,40,20,80.21,5.52,$80.21 \pm 5.52$,79.04,5.61,$79.04 \pm 5.61$,79.11,3.9,$79.11 \pm 3.9$,86.08,5.7,$86.08 \pm 5.7$,85.42,6.62,$85.42 \pm 6.62$,84.17,4.44,$84.17 \pm 4.44$,84.49,6.48,$84.49 \pm 6.48$,82.89,6.63,$82.89 \pm 6.63$,82.23,4.13,$82.23 \pm 4.13$,84.96,3.09,$84.96 \pm 3.09$,83.77,3.62,$83.77 \pm 3.62$,83.05,2.48,$83.05 \pm 2.48$
269,resnet152,True,ridge,NMF,40,20,80.21,5.52,$80.21 \pm 5.52$,80.86,3.57,$80.86 \pm 3.57$,79.11,3.9,$79.11 \pm 3.9$,86.08,5.7,$86.08 \pm 5.7$,86.33,2.74,$86.33 \pm 2.74$,84.17,4.44,$84.17 \pm 4.44$,84.49,6.48,$84.49 \pm 6.48$,84.78,4.13,$84.78 \pm 4.13$,82.23,4.13,$82.23 \pm 4.13$,84.96,3.09,$84.96 \pm 3.09$,85.47,2.3,$85.47 \pm 2.3$,83.05,2.48,$83.05 \pm 2.48$
270,resnet152,True,gnb,NMF,40,20,80.21,5.52,$80.21 \pm 5.52$,79.11,3.9,$79.11 \pm 3.9$,79.11,3.9,$79.11 \pm 3.9$,86.08,5.7,$86.08 \pm 5.7$,84.17,4.44,$84.17 \pm 4.44$,84.17,4.44,$84.17 \pm 4.44$,84.49,6.48,$84.49 \pm 6.48$,82.23,4.13,$82.23 \pm 4.13$,82.23,4.13,$82.23 \pm 4.13$,84.96,3.09,$84.96 \pm 3.09$,83.05,2.48,$83.05 \pm 2.48$,83.05,2.48,$83.05 \pm 2.48$
271,resnet152,True,logistic,NMF,40,20,80.21,5.52,$80.21 \pm 5.52$,79.43,4.04,$79.43 \pm 4.04$,79.11,3.9,$79.11 \pm 3.9$,86.08,5.7,$86.08 \pm 5.7$,87.08,3.1,$87.08 \pm 3.1$,84.17,4.44,$84.17 \pm 4.44$,84.49,6.48,$84.49 \pm 6.48$,82.71,4.51,$82.71 \pm 4.51$,82.23,4.13,$82.23 \pm 4.13$,84.96,3.09,$84.96 \pm 3.09$,84.76,2.83,$84.76 \pm 2.83$,83.05,2.48,$83.05 \pm 2.48$
272,resnet152,False,Not-Applicable,PCA,40,20,80.21,5.52,$80.21 \pm 5.52$,80.0,4.96,$80.0 \pm 4.96$,78.14,4.15,$78.14 \pm 4.15$,86.08,5.7,$86.08 \pm 5.7$,85.67,5.08,$85.67 \pm 5.08$,86.17,4.09,$86.17 \pm 4.09$,84.49,6.48,$84.49 \pm 6.48$,84.34,5.55,$84.34 \pm 5.55$,81.39,4.49,$81.39 \pm 4.49$,84.96,3.09,$84.96 \pm 3.09$,84.81,3.42,$84.81 \pm 3.42$,83.61,3.16,$83.61 \pm 3.16$
273,resnet152,True,ridge,PCA,40,20,80.21,5.52,$80.21 \pm 5.52$,82.29,3.17,$82.29 \pm 3.17$,78.14,4.15,$78.14 \pm 4.15$,86.08,5.7,$86.08 \pm 5.7$,86.17,2.48,$86.17 \pm 2.48$,86.17,4.09,$86.17 \pm 4.09$,84.49,6.48,$84.49 \pm 6.48$,86.55,3.67,$86.55 \pm 3.67$,81.39,4.49,$81.39 \pm 4.49$,84.96,3.09,$84.96 \pm 3.09$,86.3,2.09,$86.3 \pm 2.09$,83.61,3.16,$83.61 \pm 3.16$
274,resnet152,True,gnb,PCA,40,20,80.21,5.52,$80.21 \pm 5.52$,78.18,4.21,$78.18 \pm 4.21$,78.14,4.15,$78.14 \pm 4.15$,86.08,5.7,$86.08 \pm 5.7$,86.25,4.18,$86.25 \pm 4.18$,86.17,4.09,$86.17 \pm 4.09$,84.49,6.48,$84.49 \pm 6.48$,81.4,4.5,$81.4 \pm 4.5$,81.39,4.49,$81.39 \pm 4.49$,84.96,3.09,$84.96 \pm 3.09$,83.66,3.21,$83.66 \pm 3.21$,83.61,3.16,$83.61 \pm 3.16$
275,resnet152,True,logistic,PCA,40,20,80.21,5.52,$80.21 \pm 5.52$,82.29,2.45,$82.29 \pm 2.45$,78.14,4.15,$78.14 \pm 4.15$,86.08,5.7,$86.08 \pm 5.7$,85.42,3.33,$85.42 \pm 3.33$,86.17,4.09,$86.17 \pm 4.09$,84.49,6.48,$84.49 \pm 6.48$,86.52,3.48,$86.52 \pm 3.48$,81.39,4.49,$81.39 \pm 4.49$,84.96,3.09,$84.96 \pm 3.09$,85.88,2.08,$85.88 \pm 2.08$,83.61,3.16,$83.61 \pm 3.16$
