timestamp,model,seed,test_acc,test_acc_binary,test_sensitivity,test_specificity,test_precision,test_f1_score,test_time_cost
2025-03-30 02:37:42.527715,resnet152,289,77.85714285714286,87.85714285714286,85.0,90.0,86.4406779661017,85.71428571428572,933.0772135257721
2025-03-30 02:47:20.176251,resnet152,222,78.57142857142857,84.28571428571429,80.0,87.5,82.75862068965517,81.35593220338983,915.5925590991974
2025-03-30 02:46:37.620317,resnet50,377,81.42857142857143,88.57142857142857,90.0,87.5,84.375,87.0967741935484,1066.847529888153
2025-03-30 02:53:28.789311,resnext50,445,79.28571428571428,87.85714285714286,86.66666666666667,88.75,85.24590163934425,85.95041322314049,1094.9508600234985
2025-03-30 03:05:05.783633,resnet152,377,77.14285714285715,85.71428571428571,93.33333333333333,80.0,77.77777777777779,84.84848484848484,1015.1501247882843
2025-03-30 03:12:19.079052,resnet50,445,83.57142857142857,85.71428571428571,80.0,90.0,85.71428571428571,82.75862068965519,927.1263189315796
2025-03-30 03:28:26.966893,resnet152,445,82.14285714285714,85.0,73.33333333333333,93.75,89.79591836734694,80.73394495412845,1257.677555322647
2025-03-30 07:35:50.948583,resnext50,498,82.85714285714286,87.85714285714286,83.33333333333334,91.25,87.71929824561403,85.47008547008548,649.0132904052734
2025-03-30 07:47:33.360019,resnet50,498,82.14285714285714,87.85714285714286,88.33333333333333,87.5,84.12698412698413,86.17886178861788,796.1710686683655
2025-03-30 08:01:36.825151,resnet152,498,76.42857142857142,87.14285714285714,88.33333333333333,86.25,82.8125,85.48387096774192,842.6495413780212
2025-03-30 09:30:08.235957,resnext50,578,82.85714285714286,85.71428571428571,81.66666666666667,88.75,84.48275862068965,83.05084745762711,629.4343109130859
2025-03-30 09:43:03.325179,resnext50,789,82.14285714285714,86.42857142857143,96.66666666666667,78.75,77.33333333333333,85.92592592592592,434.8034510612488
2025-03-30 09:41:36.372334,resnet50,578,82.14285714285714,87.14285714285714,90.0,85.0,81.81818181818183,85.71428571428572,948.8283743858337
2025-03-30 09:45:05.399732,resnext50,999,75.71428571428571,82.14285714285714,81.66666666666667,82.5,77.77777777777779,79.67479674796746,908.8016214370728
2025-03-30 10:00:52.523707,resnet50,999,72.14285714285714,79.28571428571428,73.33333333333333,83.75,77.19298245614034,75.21367521367522,530.1745321750641
2025-03-30 09:50:59.547697,resnet50,789,85.0,90.71428571428571,88.33333333333333,92.5,89.83050847457628,89.07563025210085,1317.8941099643707
2025-03-30 10:10:26.580160,resnet152,999,75.0,84.28571428571429,90.0,80.0,77.14285714285715,83.07692307692307,998.602814912796
2025-03-30 09:58:08.112570,resnet152,578,82.85714285714286,86.42857142857143,78.33333333333333,92.5,88.67924528301887,83.18584070796462,2042.0845251083374
2025-03-30 10:13:32.939889,resnet152,789,82.14285714285714,87.85714285714286,80.0,93.75,90.56603773584906,84.95575221238938,1157.6483170986176
2025-03-30 10:09:42.601075,resnext50,3407,81.42857142857143,88.57142857142857,95.0,83.75,81.42857142857143,87.6923076923077,1610.1937863826752
2025-03-30 10:37:15.061268,resnet50,3407,78.57142857142857,88.57142857142857,90.0,87.5,84.375,87.0967741935484,934.3353834152222
2025-03-30 10:53:33.403631,resnet152,3407,74.28571428571429,85.71428571428571,90.0,82.5,79.41176470588235,84.375,853.5923793315887
