timestamp,model,concept,seed,woe_acc,woe_binary_acc,woe_sensitivity,woe_specificity,woe_precision,woe_f1_score,woe_time_cost,feature_type,reducer,is_train_clf,ice_clf,woe_clf
2025-03-30 15:01:55.446938,resnet50,8,445,77.85714285714286,82.14285714285714,78.33333333333333,85.0,79.66101694915254,78.99159663865547,84.95856952667236,mean,NMF,False,NA,original
2025-03-30 15:01:41.262017,resnet50,11,289,78.57142857142857,89.28571428571429,93.33333333333333,86.25,83.5820895522388,88.18897637795276,106.93812298774719,mean,NMF,False,NA,original
2025-03-30 15:01:31.724558,resnet50,15,3407,77.85714285714286,87.14285714285714,85.0,88.75,85.0,85.0,131.59880709648132,mean,NMF,False,NA,original
2025-03-30 15:02:44.817675,resnet152,4,222,63.57142857142857,72.14285714285714,56.666666666666664,83.75,72.3404255319149,63.55140186915887,64.9330506324768,mean,NMF,False,NA,original
2025-03-30 15:02:26.067911,resnet152,7,100,82.85714285714286,87.85714285714286,90.0,86.25,83.07692307692308,86.4,87.41223406791687,mean,NMF,False,NA,original
2025-03-30 15:05:08.269098,resnet152,15,498,77.85714285714286,85.71428571428571,86.66666666666667,85.0,81.25,83.87096774193549,136.56643509864807,mean,NMF,False,NA,original
2025-03-30 15:03:11.919645,resnet50,35,789,82.14285714285714,87.14285714285714,88.33333333333333,86.25,82.8125,85.48387096774192,270.78900837898254,mean,NMF,False,NA,original
2025-03-30 15:06:59.112371,resnet152,9,149,67.85714285714286,80.71428571428572,85.0,77.5,73.91304347826086,79.06976744186046,96.7667601108551,mean,NMF,False,NA,original
2025-03-30 15:07:07.299998,resnet152,12,2,79.28571428571428,82.14285714285714,83.33333333333334,81.25,76.92307692307693,80.0,116.3095154762268,mean,NMF,False,NA,original
2025-03-30 15:07:50.771420,resnet152,9,42,84.28571428571429,88.57142857142857,83.33333333333334,92.5,89.28571428571429,86.20689655172413,97.4410240650177,mean,NMF,False,NA,original
2025-03-30 15:07:42.065154,resnet50,12,377,77.14285714285715,87.14285714285714,83.33333333333334,90.0,86.20689655172413,84.7457627118644,111.46478009223938,mean,NMF,False,NA,original
2025-03-30 15:09:10.137899,resnet50,9,445,78.57142857142857,82.14285714285714,78.33333333333333,85.0,79.66101694915254,78.99159663865547,92.18189525604248,mean,NMF,False,NA,original
