timestamp,model,lr,concept_samples,seed,no_concepts,woe_acc,woe_acc_binary,woe_sensitivity,woe_specificity,woe_precision,woe_f1_score,woe_time_cost,feature_type,pcbm_classifier,woe_clf
2025-03-30 14:48:22.790894,resnet50,0.01,50,5,12,77.14285714285715,87.14285714285714,88.33333333333333,86.25,82.8125,85.48387096774192,117.64484095573425,mean,ridge,original
2025-03-30 14:53:32.013025,resnet152,0.01,50,1,12,80.0,88.57142857142857,80.0,95.0,92.3076923076923,85.71428571428571,123.94654154777527,mean,ridge,original
2025-03-30 14:54:40.376005,resnet152,0.01,50,5,12,82.14285714285714,88.57142857142857,91.66666666666666,86.25,83.33333333333334,87.30158730158729,124.76430177688599,mean,ridge,original
2025-03-30 15:12:30.996191,resnext50,0.01,50,2,12,77.85714285714286,85.71428571428571,85.0,86.25,82.25806451612904,83.60655737704919,117.23886156082153,mean,ridge,original
2025-03-30 15:17:32.385969,resnet50,0.01,50,2,12,67.85714285714286,76.42857142857142,85.0,70.0,68.0,75.55555555555557,115.71004891395569,mean,ridge,original
2025-03-30 15:23:51.752175,resnet152,0.01,50,2,12,79.28571428571428,86.42857142857143,86.66666666666667,86.25,82.53968253968253,84.55284552845528,123.69065713882446,mean,ridge,original
2025-03-30 15:32:27.591053,resnext50,0.01,50,42,12,80.71428571428572,90.0,86.66666666666667,92.5,89.65517241379311,88.13559322033899,117.64159560203552,mean,ridge,original
2025-03-30 15:32:50.178981,resnext50,0.01,50,149,12,75.0,87.14285714285714,86.66666666666667,87.5,83.87096774193549,85.24590163934425,116.60193085670471,mean,ridge,original
2025-03-30 15:37:24.744507,resnet50,0.01,50,42,12,77.85714285714286,87.14285714285714,85.0,88.75,85.0,85.0,116.33637380599976,mean,ridge,original
2025-03-30 15:37:46.073211,resnet50,0.01,50,149,12,72.85714285714285,82.85714285714286,80.0,85.0,80.0,80.00000000000001,115.5263922214508,mean,ridge,original
2025-03-30 15:43:38.333603,resnet152,0.01,50,42,12,81.42857142857143,90.71428571428571,86.66666666666667,93.75,91.22807017543859,88.88888888888889,125.30076289176941,mean,ridge,original
2025-03-30 15:44:01.281356,resnet152,0.01,50,149,12,65.71428571428571,79.28571428571428,86.66666666666667,73.75,71.23287671232876,78.19548872180451,123.19453406333923,mean,ridge,original
2025-03-30 15:44:49.113182,resnext50,0.01,50,100,12,82.14285714285714,89.28571428571429,91.66666666666666,87.5,84.61538461538461,87.99999999999999,119.38045001029968,mean,ridge,original
2025-03-30 15:49:49.756164,resnet50,0.01,50,100,12,75.0,87.85714285714286,88.33333333333333,87.5,84.12698412698413,86.17886178861788,117.41910815238953,mean,ridge,original
