timestamp,model,lr,concept_samples,seed,no_concepts,pcbm_acc,pcbm_acc_binary,pcbm_sensitivity,pcbm_specificity,pcbm_precision,pcbm_f1_score,pcbm_time_cost,feature_type,pcbm_classifier
2025-03-30 14:29:08.005229,resnet152,0.01,50,4,12,65.71428571428571,81.42857142857143,85.0,78.75,75.0,79.68749999999999,247.61050510406494,mean,ridge
2025-03-30 14:32:17.281780,resnet152,0.01,50,3,12,53.57142857142857,76.42857142857142,78.33333333333333,75.0,70.1492537313433,74.01574803149607,247.66278076171875,mean,ridge
2025-03-30 14:34:06.554360,resnet50,0.01,50,10,12,67.85714285714286,88.57142857142857,91.66666666666666,86.25,83.33333333333334,87.30158730158729,156.72708559036255,mean,ridge
2025-03-30 14:39:09.491987,resnext50,0.01,50,1,12,53.57142857142857,70.71428571428572,46.666666666666664,88.75,75.67567567567568,57.731958762886606,183.44162774085999,mean,ridge
2025-03-30 14:38:46.920142,resnet152,0.01,50,10,12,65.71428571428571,81.42857142857143,78.33333333333333,83.75,78.33333333333333,78.33333333333333,226.8727855682373,mean,ridge
2025-03-30 14:40:09.923762,resnext50,0.01,50,5,12,70.0,79.28571428571428,88.33333333333333,72.5,70.66666666666667,78.51851851851853,183.69004011154175,mean,ridge
2025-03-30 14:44:26.424103,resnet50,0.01,50,1,12,52.142857142857146,65.71428571428571,80.0,55.00000000000001,57.14285714285714,66.66666666666666,161.63645362854004,mean,ridge
2025-03-30 14:45:33.329603,resnet50,0.01,50,5,12,60.71428571428571,75.71428571428571,53.333333333333336,92.5,84.21052631578947,65.3061224489796,162.37595582008362,mean,ridge
2025-03-30 14:49:21.756624,resnet152,0.01,50,1,12,76.42857142857142,88.57142857142857,93.33333333333333,85.0,82.35294117647058,87.49999999999999,241.79696249961853,mean,ridge
2025-03-30 14:50:31.154724,resnet152,0.01,50,5,12,72.85714285714285,90.71428571428571,86.66666666666667,93.75,91.22807017543859,88.88888888888889,241.9633448123932,mean,ridge
2025-03-30 15:09:16.175998,resnext50,0.01,50,2,12,76.42857142857142,85.71428571428571,95.0,78.75,77.02702702702703,85.07462686567165,184.11463069915771,mean,ridge
2025-03-30 15:14:39.152277,resnet50,0.01,50,2,12,67.14285714285714,82.14285714285714,83.33333333333334,81.25,76.92307692307693,80.0,162.4978687763214,mean,ridge
2025-03-30 15:19:38.754736,resnet152,0.01,50,2,12,67.14285714285714,78.57142857142857,93.33333333333333,67.5,68.29268292682927,78.87323943661973,242.37136459350586,mean,ridge
2025-03-30 15:29:13.002034,resnext50,0.01,50,42,12,54.285714285714285,79.28571428571428,83.33333333333334,76.25,72.46376811594203,77.51937984496125,185.07677006721497,mean,ridge
